CO_ID;CL_ID;DATA;CL_GENERO;CL_SEG;QTD_ITENS;QTD_PRODUTOS_DISTINTOS;QTD_CATEGORIAS_DISTINTAS;CATEGORIAS
4064;453;01/02/2019;F;B;28;28;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
4113;236;01/02/2019;M;C;10;10;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
4153;193;01/02/2019;F;B;49;49;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
4246;927;01/02/2019;M;C;17;17;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
4251;594;01/02/2019;F;C;41;41;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
4307;333;01/02/2019;F;C;35;35;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
4382;199;01/02/2019;M;B;2;2;1;['ALIMENTOS']
4459;973;01/02/2019;F;B;50;50;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
4521;686;01/02/2019;F;A;24;24;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
4578;523;01/02/2019;M;B;42;42;6;['#N/D', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
4581;406;01/02/2019;M;C;48;48;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
4680;225;01/02/2019;M;C;59;59;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
4755;82;01/09/2019;F;C;44;44;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
4823;362;01/09/2019;F;B;41;41;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
4906;394;01/09/2019;M;B;20;20;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
5000;243;01/09/2019;F;C;26;26;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
5038;652;01/09/2019;F;B;60;60;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
5082;160;01/09/2019;F;B;77;77;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
5151;79;01/09/2019;F;C;57;57;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
5165;151;01/09/2019;F;B;68;68;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
5198;933;01/09/2019;M;B;3;3;2;['ALIMENTOS', 'PET']
5279;6;01/09/2019;F;B;6;6;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
5305;322;01/09/2019;M;B;69;69;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
5329;663;01/09/2019;F;B;15;15;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
5407;459;01/09/2019;F;B;53;53;6;['#N/D', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
5506;761;01/09/2019;F;B;37;37;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
5524;384;01/09/2019;F;C;63;63;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
5578;707;01/09/2019;M;B;26;26;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
5583;954;01/09/2019;F;B;9;9;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
5678;227;01/09/2019;F;C;71;71;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
5693;458;01/09/2019;F;C;30;30;4;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA']
5773;804;01/09/2019;F;B;52;52;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
5872;462;01/09/2019;F;A;32;32;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
5959;283;01/09/2019;M;B;53;53;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
5998;25;01/09/2019;M;C;42;42;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6061;842;01/09/2019;M;B;28;28;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6085;348;01/09/2019;F;A;13;13;3;['ALIMENTOS', 'BEBIDAS', 'LIMPEZA']
6142;757;01/09/2019;F;C;52;52;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6166;44;01/09/2019;F;C;1;1;1;['HIGIENE']
6176;332;01/09/2019;F;C;63;63;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6243;38;01/09/2019;M;B;65;65;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6268;257;01/09/2019;M;C;8;8;4;['ALIMENTOS', 'BEBIDAS', 'LIMPEZA', 'PET']
6303;886;01/09/2019;F;B;51;51;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6336;4;01/09/2019;M;B;50;50;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6428;865;01/09/2019;F;B;36;36;6;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
6497;982;01/09/2019;M;B;20;20;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6531;516;01/09/2019;M;C;59;59;6;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
6623;443;01/09/2019;F;C;33;33;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
6669;996;01/09/2019;F;B;52;52;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6740;847;01/09/2019;M;A;46;46;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6800;408;01/09/2019;F;B;4;4;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
6805;369;01/09/2019;F;C;66;66;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6813;502;01/09/2019;M;C;56;56;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6879;163;01/09/2019;F;A;60;60;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6883;171;01/09/2019;F;B;65;65;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6912;597;01/09/2019;M;C;72;72;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
6922;289;01/09/2019;F;C;17;17;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
6975;521;01/09/2019;F;A;67;67;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7042;770;01/09/2019;M;B;37;37;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
7118;42;01/09/2019;M;B;20;20;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
7158;517;01/09/2019;F;B;48;48;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7164;628;01/09/2019;M;B;20;20;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
7243;59;01/09/2019;M;A;40;40;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7286;418;01/09/2019;M;A;59;59;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7329;113;01/09/2019;F;B;57;57;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
7361;756;01/09/2019;F;B;55;55;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7378;933;01/09/2019;M;B;27;27;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
7380;506;01/09/2019;F;B;18;18;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
7410;991;01/09/2019;F;C;31;31;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7419;773;01/09/2019;M;B;63;63;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7439;525;01/09/2019;M;B;66;66;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7481;52;01/09/2019;F;A;68;68;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7563;174;01/09/2019;M;C;66;66;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7599;498;01/09/2019;M;B;37;37;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7634;921;01/09/2019;M;B;68;68;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7711;916;01/09/2019;F;C;13;13;4;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA']
7784;96;01/09/2019;F;C;45;45;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7865;957;01/09/2019;M;B;41;41;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7882;110;01/09/2019;M;C;68;68;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7894;740;01/09/2019;F;C;11;11;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
7915;780;01/09/2019;M;B;68;68;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
7928;350;01/09/2019;F;B;68;68;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
8004;768;01/09/2019;F;B;10;10;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'LIMPEZA', 'PET']
8022;892;01/09/2019;F;B;77;77;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
8120;75;01/09/2019;M;B;27;27;5;['#N/D', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
8218;880;01/09/2019;M;B;15;15;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
8250;583;01/09/2019;F;B;44;44;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
8291;580;01/09/2019;M;B;7;7;2;['ALIMENTOS', 'LIMPEZA']
8330;539;01/09/2019;M;C;47;47;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
8333;560;01/09/2019;M;B;18;18;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
8410;645;01/09/2019;F;B;70;70;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
8476;978;01/09/2019;F;C;34;34;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
8562;831;01/09/2019;F;B;76;76;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
8613;830;01/09/2019;F;B;61;61;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
8701;651;01/09/2019;F;B;35;35;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
8799;583;01/09/2019;F;B;22;22;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
8878;814;13/01/2019;M;B;57;57;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
8974;815;13/01/2019;F;B;15;15;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
9064;301;13/01/2019;F;C;71;71;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
9158;122;13/01/2019;M;B;11;11;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
9215;750;13/01/2019;M;C;48;48;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
9248;802;13/01/2019;M;B;15;15;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
9329;351;13/01/2019;F;B;13;13;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
9352;304;13/01/2019;F;B;54;54;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
9368;847;13/01/2019;M;A;68;68;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
9456;143;13/01/2019;F;B;67;67;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
9545;433;13/01/2019;M;B;27;27;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
9560;935;13/01/2019;F;B;10;10;4;['ALIMENTOS', 'BEBIDAS', 'LIMPEZA', 'PET']
9607;512;13/01/2019;M;B;36;36;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
9696;552;13/01/2019;M;B;37;37;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
9755;759;13/01/2019;F;B;25;25;5;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
9826;487;13/01/2019;F;C;1;1;1;['ALIMENTOS']
9862;691;13/01/2019;M;B;20;20;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
9939;828;13/01/2019;F;B;11;11;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
10008;425;13/01/2019;F;B;52;52;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10051;659;13/01/2019;F;B;20;20;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10056;17;13/01/2019;M;B;62;62;6;['#N/D', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10106;464;13/01/2019;M;B;2;2;2;['ACESSORIOS', 'ALIMENTOS']
10126;742;13/01/2019;M;C;22;22;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10139;884;13/01/2019;F;C;69;69;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10192;325;13/01/2019;M;B;35;35;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10254;83;13/01/2019;M;B;69;69;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10263;391;13/01/2019;F;A;33;33;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
10326;785;13/01/2019;M;C;33;33;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10421;812;13/01/2019;F;A;50;50;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10453;398;13/01/2019;F;B;53;53;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10483;206;13/01/2019;F;C;21;21;4;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA']
10541;491;13/01/2019;M;A;65;65;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10595;463;13/01/2019;M;B;33;33;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10670;246;13/01/2019;M;B;15;15;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
10722;510;13/01/2019;F;B;64;64;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10776;537;19/01/2019;F;B;24;24;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10807;898;19/01/2019;F;C;13;13;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
10808;425;19/01/2019;F;B;55;55;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10869;482;19/01/2019;M;B;16;16;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
10900;527;19/01/2019;F;B;43;43;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
10944;5;19/01/2019;F;C;19;19;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
